playerLabel,teamLabel,collegeLabel,positionLabel,height,draftYear
Megan Gustafson,Las Vegas Aces,University of Iowa,center,75,2019
Awak Kuier,Dallas Wings,,power forward,195,2021
Aliyah Boston,Indiana Fever,University of South Carolina,,196,2023
Jackie Young,Las Vegas Aces,University of Notre Dame,shooting guard,183,2019
Sabrina Ionescu,New York Liberty,University of Oregon,point guard,180,2020
Megan Gustafson,Dallas Wings,University of Iowa,center,75,2019
Lou Lopez Sénéchal,Dallas Wings,University of Connecticut,,185,2023
Kate Martin,Las Vegas Aces,University of Iowa,,183,2024
Cameron Brink,Los Angeles Sparks,Stanford University,,193,2024
Rickea Jackson,Los Angeles Sparks,Mississippi State University,small forward,188,2024
Rhyne Howard,Atlanta Dream,University of Kentucky,,74,2022
Rickea Jackson,Los Angeles Sparks,University of Tennessee,small forward,188,2024
Arike Ogunbowale,Dallas Wings,University of Notre Dame,point guard,173,2019
Caitlin Clark,Indiana Fever,University of Iowa,,183,2024
Paige Bueckers,Dallas Wings,University of Connecticut,point guard,183,2025
Maddy Siegrist,Dallas Wings,Villanova University,,73,2023
Lou Lopez Sénéchal,Dallas Wings,Fairfield University,,185,2023
Aari McDonald,Atlanta Dream,University of Washington,,170,2021
Aari McDonald,Atlanta Dream,University of Arizona,,170,2021
Aari McDonald,Los Angeles Sparks,University of Washington,,170,2021
Lauren Cox,Los Angeles Sparks,,center,193,2020
Aari McDonald,Los Angeles Sparks,University of Arizona,,170,2021
Ruthy Hebard,Chicago Sky,University of Oregon,,193,2020
Lauren Cox,Indiana Fever,,center,193,2020
Megan Gustafson,Washington Mystics,University of Iowa,center,75,2019
Megan Gustafson,Phoenix Mercury,University of Iowa,center,75,2019
A'ja Wilson,Las Vegas Aces,University of South Carolina,center,1.93,2018
Evelyn Akhator,Dallas Wings,University of Kentucky,forward,1.91,2017
Sue Bird,Seattle Storm,University of Connecticut,point guard,175,
Roneeka Hodges,Atlanta Dream,,shooting guard,180,
Wendy Palmer,Connecticut Sun,University of Virginia,power forward,188,
Penny Taylor,Cleveland Rockers,,small forward,185,
Kristen Mann,Minnesota Lynx,,small forward,188,
Alison Bales,Atlanta Dream,Duke University,center,201,
Quanitra Hollingsworth,Washington Mystics,,center,196,
Noelle Quinn,Minnesota Lynx,"University of California, Los Angeles",shooting guard,183,
Roneeka Hodges,Minnesota Lynx,,shooting guard,180,
Tanisha Wright,New York Liberty,Pennsylvania State University,point guard,180,
Quanitra Hollingsworth,Minnesota Lynx,,center,196,
Tamika Whitmore,Los Angeles Sparks,,power forward,188,
Tamika Catchings,Indiana Fever,University of Tennessee,small forward,188,
Érika de Souza,Atlanta Dream,,center,196,
Linda Fröhlich,Charlotte Sting,,power forward,188,
Diana Taurasi,Phoenix Mercury,University of Connecticut,point guard,183,
Alison Bales,Indiana Fever,Duke University,center,201,
Muggsy Bogues,Charlotte Sting,Wake Forest University,center,160,
Noelle Quinn,Los Angeles Sparks,"University of California, Los Angeles",shooting guard,183,
Tanisha Wright,Seattle Storm,Pennsylvania State University,point guard,180,
Sheryl Swoopes,Seattle Storm,,small forward,182,
Alana Beard,Los Angeles Sparks,Duke University,shooting guard,180,
Danielle McCray,Connecticut Sun,University of Kansas,shooting guard,180,
Temeka Johnson,Los Angeles Sparks,,point guard,160,
Helen Luz,Washington Mystics,,shooting guard,175,
Candice Wiggins,Minnesota Lynx,Stanford University,point guard,180,
Tan White,Indiana Fever,,shooting guard,170,
Noelle Quinn,Washington Mystics,"University of California, Los Angeles",shooting guard,183,
Tamera Young,Atlanta Dream,James Madison University,small forward,188,
Wendy Palmer,Seattle Storm,University of Virginia,power forward,188,
Quanitra Hollingsworth,New York Liberty,,center,196,
Becky Hammon,New York Liberty,,point guard,168,
Alana Beard,Washington Mystics,Duke University,shooting guard,180,
Linda Fröhlich,Charlotte Sting,,center,188,
Teresa Edwards,Minnesota Lynx,University of Georgia,shooting guard,175,
Tina Charles,Connecticut Sun,University of Connecticut,center,193,
Diana Taurasi,Phoenix Mercury,University of Connecticut,small forward,183,
Janel McCarville,Minnesota Lynx,University of Minnesota,center,190,
Tamika Whitmore,Indiana Fever,,power forward,188,
Candice Wiggins,Los Angeles Sparks,Stanford University,point guard,180,
Tamera Young,Chicago Sky,James Madison University,small forward,188,
Sheryl Swoopes,Houston Comets,,small forward,182,
Tan White,Minnesota Lynx,,shooting guard,170,
Jessica Davenport,Indiana Fever,Ohio State University,center,196,
Dawn Staley,Houston Comets,University of Virginia,point guard,165,
Candace Parker,Los Angeles Sparks,University of Tennessee,power forward,193,
Nancy Lieberman,Phoenix Mercury,Old Dominion University,point guard,175,
Noelle Quinn,Phoenix Mercury,"University of California, Los Angeles",shooting guard,183,
Seimone Augustus,Minnesota Lynx,Louisiana State University,shooting guard,185,
Tan White,Connecticut Sun,,shooting guard,170,
Janel McCarville,Charlotte Sting,University of Minnesota,center,190,
Noelle Quinn,Seattle Storm,"University of California, Los Angeles",shooting guard,183,
Helen Luz,Washington Mystics,,point guard,175,
Tina Charles,New York Liberty,University of Connecticut,center,193,
Jessica Davenport,New York Liberty,Ohio State University,center,196,
Lisa Leslie,Los Angeles Sparks,University of Southern California,center,196,
Essence Carson,New York Liberty,Rutgers University,shooting guard,183,
Candace Parker,Los Angeles Sparks,University of Tennessee,center,193,
Lisa Leslie,Los Angeles Sparks,University of Phoenix,center,196,
Candice Wiggins,New York Liberty,Stanford University,point guard,180,
Zheng Haixia,Los Angeles Sparks,,center,203,
Tamika Whitmore,Connecticut Sun,,power forward,188,
Penny Taylor,Phoenix Mercury,,small forward,185,
Crystal Langhorne,Washington Mystics,,power forward,188,
Tamika Whitmore,New York Liberty,,power forward,188,
Kristen Mann,Atlanta Dream,,small forward,188,
Lauren Jackson,Seattle Storm,,center,196,
Dawn Staley,Charlotte Sting,University of Virginia,point guard,165,
Diana Taurasi,Phoenix Mercury,University of Connecticut,shooting guard,183,
Angel McCoughtry,Atlanta Dream,University of Louisville,small forward,185,
Marissa Coleman,Indiana Fever,University of Maryland,small forward,185,
Janell Burse,Seattle Storm,Tulane University of Louisiana,center,196,
Doneeka Lewis,Seattle Storm,Louisiana State University,shooting guard,175,
DeLisha Milton-Jones,New York Liberty,University of Florida,small forward,185,
Nikki Blue,New York Liberty,"University of California, Los Angeles",point guard,173,
Alexis Hornbuckle,Phoenix Mercury,University of Tennessee,point guard,178,
Swin Cash,Atlanta Dream,University of Connecticut,power forward,187,
Latasha Byears,Los Angeles Sparks,DePaul University,power forward,180,
Katie Smith,Minnesota Lynx,Ohio State University,shooting guard,180,
Swin Cash,Chicago Sky,University of Connecticut,power forward,187,
Tina Thompson,Seattle Storm,,power forward,188,
Alexis Hornbuckle,Minnesota Lynx,University of Tennessee,shooting guard,178,
Renee Montgomery,Minnesota Lynx,University of Connecticut,point guard,170,
Sylvia Fowles,Chicago Sky,Louisiana State University,center,196,
Ann Strother,Atlanta Dream,University of Connecticut,shooting guard,191,
Belinda Snell,Seattle Storm,,small forward,180,
Swin Cash,New York Liberty,University of Connecticut,power forward,187,
Helen Darling,Charlotte Sting,,point guard,168,
Renee Montgomery,Connecticut Sun,University of Connecticut,point guard,170,
Maria Stepanova,Phoenix Mercury,,center,202,
Tina Thompson,Houston Comets,,power forward,188,
Janell Burse,Minnesota Lynx,Tulane University of Louisiana,center,196,
Ann Strother,Indiana Fever,University of Connecticut,shooting guard,191,
Swin Cash,Seattle Storm,University of Connecticut,power forward,187,
Belinda Snell,Phoenix Mercury,,small forward,180,
Alexis Hornbuckle,Minnesota Lynx,University of Tennessee,point guard,178,
Angel McCoughtry,Atlanta Dream,University of Louisville,power forward,185,
Anna Cruz,Minnesota Lynx,,shooting guard,178,
Devereaux Peters,Minnesota Lynx,University of Notre Dame,small forward,188,
Doneeka Lewis,Los Angeles Sparks,Louisiana State University,shooting guard,175,
Suzy Batkovic,Seattle Storm,,center,193,
Anete Jēkabsone-Žogota,Connecticut Sun,,shooting guard,175,
DeLisha Milton-Jones,Atlanta Dream,University of Florida,small forward,185,
Ann Strother,Phoenix Mercury,University of Connecticut,shooting guard,191,
Helen Darling,Minnesota Lynx,,point guard,168,
Katie Smith,Minnesota Lynx,Ohio State University,small forward,180,
Alexis Hornbuckle,Phoenix Mercury,University of Tennessee,shooting guard,178,
Tina Thompson,Los Angeles Sparks,,power forward,188,
Doneeka Lewis,Indiana Fever,Louisiana State University,shooting guard,175,
DeLisha Milton-Jones,Los Angeles Sparks,University of Florida,small forward,185,
Abby Bishop,Seattle Storm,,small forward,191,
Anna Cruz,New York Liberty,,shooting guard,178,
Renee Montgomery,Seattle Storm,University of Connecticut,point guard,170,
Marissa Coleman,Los Angeles Sparks,University of Maryland,small forward,185,
DeLisha Milton-Jones,Washington Mystics,University of Florida,small forward,185,
Nikki Blue,Washington Mystics,"University of California, Los Angeles",point guard,173,
Marissa Coleman,Washington Mystics,University of Maryland,small forward,185,
Betty Lennox,Atlanta Dream,Louisiana Tech University,small forward,173,
Nicole Powell,Sacramento Monarchs,Stanford University,power forward,188,
Cappie Pondexter,Chicago Sky,Rutgers University,shooting guard,175,
Ticha Penicheiro,Sacramento Monarchs,Old Dominion University,point guard,180,
Rebecca Lobo,Connecticut Sun,University of Connecticut,center,193,
Shannon Johnson,Houston Comets,University of South Carolina,point guard,173,
Betty Lennox,Los Angeles Sparks,Louisiana Tech University,small forward,173,
Iziane Castro Marques,Atlanta Dream,,shooting guard,183,
Betty Lennox,Miami Sol,Louisiana Tech University,small forward,173,
Yolanda Griffith,Indiana Fever,,center,193,
Lynette Woodard,Cleveland Rockers,University of Kansas,shooting guard,180,
Iziane Castro Marques,Washington Mystics,,shooting guard,183,
Suzie McConnell-Serio,Cleveland Rockers,Pennsylvania State University,point guard,162,
Iziane Castro Marques,Seattle Storm,,shooting guard,183,
Shannon Johnson,Connecticut Sun,University of South Carolina,shooting guard,173,
Ruth Riley,Atlanta Dream,University of Notre Dame,center,196,
Anna DeForge,Minnesota Lynx,University of Nebraska–Lincoln,shooting guard,178,
Sancho Lyttle,Atlanta Dream,University of Houston,center,193,
Yolanda Griffith,Seattle Storm,,center,193,
Iziane Castro Marques,Connecticut Sun,,shooting guard,183,
Rebecca Lobo,New York Liberty,University of Connecticut,center,193,
Jennifer Gillom,Phoenix Mercury,University of Mississippi,power forward,191,
Armintie Price,Atlanta Dream,University of Mississippi,shooting guard,175,
Nicole Powell,Charlotte Sting,Stanford University,power forward,188,
Iziane Castro Marques,Miami Sol,,shooting guard,183,
Iziane Castro Marques,Phoenix Mercury,,shooting guard,183,
Ruth Riley,Miami Sol,University of Notre Dame,center,196,
Ruth Riley,Chicago Sky,University of Notre Dame,center,196,
Cappie Pondexter,Chicago Sky,Rutgers University,point guard,175,
Ticha Penicheiro,Los Angeles Sparks,Old Dominion University,point guard,180,
Anna DeForge,Charlotte Sting,University of Nebraska–Lincoln,shooting guard,178,
Armintie Price,Los Angeles Sparks,University of Mississippi,shooting guard,175,
Teresa Weatherspoon,Los Angeles Sparks,Louisiana Tech University,point guard,172,
Kara Lawson,Sacramento Monarchs,University of Tennessee,point guard,175,
Ticha Penicheiro,Chicago Sky,Old Dominion University,point guard,180,
Armintie Price,Chicago Sky,University of Mississippi,shooting guard,175,
Betty Lennox,Seattle Storm,Louisiana Tech University,small forward,173,
Armintie Price,Washington Mystics,University of Mississippi,shooting guard,175,
Shannon Johnson,Connecticut Sun,University of South Carolina,point guard,173,
Amber Holt,Connecticut Sun,,small forward,183,
Shannon Johnson,Seattle Storm,University of South Carolina,shooting guard,173,
Ruthie Bolton,Sacramento Monarchs,Auburn University,shooting guard,173,
Nicole Powell,New York Liberty,Stanford University,power forward,188,
Betty Lennox,Cleveland Rockers,Louisiana Tech University,small forward,173,
Teresa Weatherspoon,New York Liberty,Louisiana Tech University,point guard,172,
Rebecca Lobo,Houston Comets,University of Connecticut,center,193,
Sancho Lyttle,Phoenix Mercury,University of Houston,center,193,
Ann Wauters,Atlanta Dream,,center,195,
Nicole Powell,Seattle Storm,Stanford University,power forward,188,
Kara Lawson,Connecticut Sun,University of Tennessee,point guard,175,
Shay Doron,New York Liberty,,shooting guard,174,
Shannon Johnson,Houston Comets,University of South Carolina,shooting guard,173,
Amaya Valdemoro,Houston Comets,,small forward,183,
Kara Lawson,Washington Mystics,University of Tennessee,point guard,175,
Shannon Johnson,Seattle Storm,University of South Carolina,point guard,173,
Lindsay Whalen,Minnesota Lynx,,point guard,173,
Betty Lennox,Minnesota Lynx,Louisiana Tech University,small forward,173,
Sancho Lyttle,Houston Comets,University of Houston,center,193,
Yolanda Griffith,Sacramento Monarchs,,center,193,
Jennifer Gillom,Los Angeles Sparks,University of Mississippi,power forward,191,
Camille Little,Connecticut Sun,,power forward,188,
Jennifer Lacy,Phoenix Mercury,Pepperdine University,small forward,191,
Maya Moore,Minnesota Lynx,University of Connecticut,small forward,183,
Stacey Lovelace-Tolbert,Chicago Sky,Purdue University,power forward,193,
Edwige Lawson-Wade,Seattle Storm,,point guard,166,
Stacey Lovelace-Tolbert,Washington Mystics,Purdue University,power forward,193,
Erin Phillips,Indiana Fever,,point guard,170,
Katie Feenstra-Mattera,Atlanta Dream,Q1468607,center,203,
LaToya Thomas,Cleveland Rockers,,small forward,188,
Betty Lennox,Cleveland Rockers,Louisiana Tech University,shooting guard,173,
Céline Dumerc,Atlanta Dream,,point guard,169,
Tiffany Jackson,New York Liberty,,power forward,191,
Émilie Gomis,New York Liberty,,shooting guard,180,
Kara Braxton,New York Liberty,University of Georgia,center,198,
LaToya Thomas,Los Angeles Sparks,,small forward,188,
Katie Feenstra-Mattera,Chicago Sky,Q1468607,center,203,
Kristi Harrower,Minnesota Lynx,,point guard,165,
Lisa Willis,Los Angeles Sparks,"University of California, Los Angeles",shooting guard,180,
Kara Braxton,Phoenix Mercury,University of Georgia,center,198,
Lin Dunn,Indiana Fever,University of Tennessee at Martin,,,
Edwige Lawson-Wade,New York Liberty,,point guard,166,
Edwige Lawson-Wade,Houston Comets,,point guard,166,
Florina Pașcalău,Seattle Storm,,center,194,
Erin Phillips,Connecticut Sun,,point guard,170,
Stacey Lovelace-Tolbert,Seattle Storm,Purdue University,power forward,193,
Monique Currie,Charlotte Sting,Duke University,shooting guard,183,
Erin Phillips,Phoenix Mercury,,point guard,170,
Allie Quigley,Chicago Sky,DePaul University,shooting guard,178,
Tiffany Jackson,Los Angeles Sparks,,power forward,191,
Betty Lennox,Minnesota Lynx,Louisiana Tech University,shooting guard,173,
Shameka Christon,Phoenix Mercury,,shooting guard,185,
Monique Currie,Chicago Sky,Duke University,shooting guard,183,
Allie Quigley,Indiana Fever,DePaul University,shooting guard,178,
Kara Wolters,Houston Comets,University of Connecticut,center,201,
Sandora Irvin,Chicago Sky,,small forward,191,
Monique Currie,Washington Mystics,Duke University,shooting guard,183,
Lisa Willis,New York Liberty,"University of California, Los Angeles",shooting guard,180,
Endéné Miyem,Minnesota Lynx,Sciences Po,power forward,188,
Kendra Wecker,Washington Mystics,Kansas State University,small forward,180,
Rachel Jarry,Minnesota Lynx,,small forward,186,
Betty Lennox,Atlanta Dream,Louisiana Tech University,shooting guard,173,
Laura Summerton,Connecticut Sun,,small forward,188,
Ivory Latta,Atlanta Dream,,point guard,168,
Shameka Christon,New York Liberty,,shooting guard,185,
Kara Wolters,Sacramento Monarchs,University of Connecticut,center,201,
Betty Lennox,Los Angeles Sparks,Louisiana Tech University,shooting guard,173,
Loree Moore,New York Liberty,,shooting guard,175,
Jennifer Lacy,Atlanta Dream,Pepperdine University,small forward,191,
Betty Lennox,Miami Sol,Louisiana Tech University,shooting guard,173,
Allie Quigley,Phoenix Mercury,DePaul University,shooting guard,178,
Jenna O'Hea,Seattle Storm,,shooting guard,185,
Anna Montañana,Minnesota Lynx,George Washington University,power forward,186,
Allie Quigley,Seattle Storm,DePaul University,shooting guard,178,
Monique Currie,Phoenix Mercury,Duke University,shooting guard,183,
Jennifer Lacy,Los Angeles Sparks,Pepperdine University,small forward,191,
Kristin Haynie,Atlanta Dream,Michigan State University,shooting guard,175,
LaToya Thomas,Minnesota Lynx,,small forward,188,
Valerie Still,Washington Mystics,University of Kentucky,,185,
Asjha Jones,Minnesota Lynx,University of Connecticut,center,188,
Ashley Robinson,Chicago Sky,,center,193,
Sandora Irvin,Atlanta Dream,,small forward,191,
Erin Phillips,Los Angeles Sparks,,point guard,170,
Zuzana Žirková,Washington Mystics,,point guard,175,
Chioma Nnamaka,Atlanta Dream,Georgia Tech,shooting guard,183,
Camille Little,Atlanta Dream,,power forward,188,
Stacey Lovelace-Tolbert,Minnesota Lynx,Purdue University,power forward,193,
Camille Little,Seattle Storm,,power forward,188,
Stacey Lovelace-Tolbert,Atlanta Dream,Purdue University,power forward,193,
Shameka Christon,Chicago Sky,,shooting guard,185,
Loree Moore,New York Liberty,,point guard,175,
Lisa Willis,Sacramento Monarchs,"University of California, Los Angeles",shooting guard,180,
Betty Lennox,Seattle Storm,Louisiana Tech University,shooting guard,173,
Candice Dupree,Chicago Sky,,power forward,188,
Kara Wolters,Indiana Fever,University of Connecticut,center,201,
Sandora Irvin,Phoenix Mercury,,small forward,191,
Clarissa dos Santos,Chicago Sky,,center,187,
Yelena Leuchanka,Atlanta Dream,,center,194,
Sonja Henning,Houston Comets,Stanford University,point guard,170,
Olympia Scott,Charlotte Sting,Stanford University,center,188,
Yelena Leuchanka,Washington Mystics,,center,194,
Zane Tamane,Washington Mystics,Western Illinois University,center,196,
Allison Feaster,Charlotte Sting,Harvard University,small forward,180,
Kathrin Ress,Minnesota Lynx,Boston College,power forward,193,
Brian Agler,Los Angeles Sparks,Pittsburg State University,point guard,,
Jackie Stiles,Portland Fire,Missouri State University,point guard,173,
Yelena Leuchanka,Connecticut Sun,,center,194,
Andrea Kuklová,Phoenix Mercury,,point guard,183,
Evanthia Maltsi,Connecticut Sun,,small forward,180,
Jamila Wideman,Los Angeles Sparks,Stanford University,point guard,168,
Kayte Christensen,Phoenix Mercury,,power forward,191,
Sonja Vasić,Phoenix Mercury,,small forward,189,
Kim Gaucher,Phoenix Mercury,University of Utah,small forward,183,
Zane Tamane,Phoenix Mercury,Western Illinois University,center,196,
Tamecka Dixon,Houston Comets,University of Kansas,shooting guard,175,
Kayte Christensen,Houston Comets,,power forward,191,
Carolyn Moos,Minnesota Lynx,Stanford University,center,,
Coco Miller,Atlanta Dream,University of Georgia,shooting guard,178,
Orlando Woolridge,Los Angeles Sparks,University of Notre Dame,small forward,206,
Chamique Holdsclaw,Washington Mystics,University of Tennessee,power forward,188,
Catherine Joens,Chicago Sky,George Washington University,shooting guard,180,
Vicky Bullett,Charlotte Sting,University of Maryland,power forward,191,
Kelly Miller,Minnesota Lynx,University of Georgia,point guard,178,
Carolyn Moos,Miami Sol,Stanford University,center,,
Ashley Walker,Seattle Storm,,power forward,185,
Carolyn Moos,Phoenix Mercury,Stanford University,center,,
Kristi Toliver,Los Angeles Sparks,University of Maryland,point guard,170,
Sonja Henning,Washington Mystics,Stanford University,point guard,170,
Coco Miller,Los Angeles Sparks,University of Georgia,shooting guard,178,
Leila Sobral,Washington Mystics,,small forward,185,
DeWanna Bonner,Connecticut Sun,Auburn University,small forward,193,
Tiffany Hayes,Atlanta Dream,,small forward,178,
Sonja Henning,Indiana Fever,Stanford University,point guard,170,
Kristi Toliver,Chicago Sky,University of Maryland,point guard,170,
Kelly Miller,Atlanta Dream,University of Georgia,point guard,178,
Sasha Goodlett,Chicago Sky,Georgia Tech,center,196,
Coco Miller,Washington Mystics,University of Georgia,shooting guard,178,
Ashley Walker,Connecticut Sun,,power forward,185,
Kelly Miller,Charlotte Sting,University of Georgia,point guard,178,
DeWanna Bonner,Indiana Fever,Auburn University,small forward,193,
Sasha Goodlett,Indiana Fever,Georgia Tech,center,196,
Jamila Wideman,Portland Fire,Stanford University,point guard,168,
Plenette Pierson,New York Liberty,Texas Tech University,power forward,188,
Kim Gaucher,Sacramento Monarchs,University of Utah,small forward,183,
Merlakia Jones,Cleveland Rockers,University of Florida,shooting guard,175,
Kristen O’Neill,Seattle Storm,University of Washington,small forward,73,
Kayte Christensen,Chicago Sky,,power forward,191,
Marta Fernández,Los Angeles Sparks,,shooting guard,180,
Plenette Pierson,Phoenix Mercury,Texas Tech University,power forward,188,
Kelly Miller,Washington Mystics,University of Georgia,point guard,178,
Brian Agler,Los Angeles Sparks,Wittenberg University,point guard,,
Sonja Vasić,Chicago Sky,,small forward,189,
Lauren Ervin,Connecticut Sun,,center,193,
Jamila Wideman,Cleveland Rockers,Stanford University,point guard,168,
Tamecka Dixon,Los Angeles Sparks,University of Kansas,shooting guard,175,
Kelly Miller,Indiana Fever,University of Georgia,point guard,178,
Nuria Martínez,Minnesota Lynx,,point guard,174,
Sonja Henning,Seattle Storm,Stanford University,point guard,170,
Yelena Leuchanka,Charlotte Sting,,center,194,
Chamique Holdsclaw,Washington Mystics,University of Tennessee,small forward,188,
DeWanna Bonner,Phoenix Mercury,Auburn University,small forward,193,
Vicky Bullett,Charlotte Sting,University of Maryland,small forward,191,
Tamecka Dixon,Indiana Fever,University of Kansas,shooting guard,175,
Andrea Kuklová,Phoenix Mercury,,shooting guard,183,
Kelly Miller,New York Liberty,University of Georgia,point guard,178,
Chen Nan,Chicago Sky,,center,196,
Annie La Fleur,Minnesota Lynx,,shooting guard,170,
Lynetta Kizer,Indiana Fever,University of Maryland,center,193,
Samantha Prahalis,Atlanta Dream,Ohio State University,point guard,170,
Mwadi Mabika,Houston Comets,,shooting guard,180,
Eva Horáková,Cleveland Rockers,,small forward,187,
LaToya Bond,Indiana Fever,University of Missouri,point guard,170,
Taj McWilliams-Franklin,New York Liberty,St. Edward's University,power forward,191,
Katy Steding,Sacramento Monarchs,Stanford University,small forward,183,
Samantha Prahalis,Los Angeles Sparks,Ohio State University,point guard,170,
Taj McWilliams-Franklin,New York Liberty,Georgia State University,power forward,191,
Michelle Chandler,Phoenix Mercury,,shooting guard,168,
Nykesha Sales,Connecticut Sun,University of Connecticut,small forward,183,
Brooke Smith,Minnesota Lynx,Duke University,center,191,
Andrea Lloyd,Minnesota Lynx,,power forward,188,
Lynetta Kizer,Phoenix Mercury,University of Maryland,center,193,
Dominique Canty,Chicago Sky,University of Alabama,shooting guard,175,
Kelley Cain,Connecticut Sun,University of Tennessee,center,198,
Venus Lacy,New York Liberty,Louisiana Tech University,center,193,
Kalana Greene,New York Liberty,,shooting guard,178,
Dominique Canty,Washington Mystics,University of Alabama,shooting guard,175,
Lindsay Taylor,Washington Mystics,"University of California, Santa Barbara",center,183,
Dominique Canty,Houston Comets,University of Alabama,small forward,175,
Yuko Oga,Phoenix Mercury,,point guard,170,
Mwadi Mabika,Los Angeles Sparks,,shooting guard,180,
Michelle Snow,Houston Comets,University of Tennessee,center,1.96,
Samantha Prahalis,New York Liberty,Ohio State University,point guard,170,
Trisha Fallon,Minnesota Lynx,,small forward,196,
Kelley Cain,New York Liberty,University of Tennessee,center,198,
Samantha Prahalis,Phoenix Mercury,Ohio State University,point guard,170,
Martina Weber,New York Liberty,,center,195,
Brooke Smith,Phoenix Mercury,Stanford University,center,191,
Nikki McCray,Chicago Sky,,shooting guard,181,
Sidney Spencer,Connecticut Sun,,shooting guard,191,
Sidney Spencer,Phoenix Mercury,,shooting guard,191,
Carolyn Jones-Young,Portland Fire,Auburn University,shooting guard,172,
Chay Shegog,Connecticut Sun,,center,196,
Brooke Smith,Phoenix Mercury,Duke University,center,191,
Clarissa Davis,Phoenix Mercury,,,185,
Michelle Snow,Atlanta Dream,University of Tennessee,center,1.96,
Sidney Spencer,New York Liberty,,shooting guard,191,
Nikki McCray,Indiana Fever,,shooting guard,181,
Vicky Bullett,Charlotte Sting,University of Maryland,center,191,
Taj McWilliams-Franklin,Minnesota Lynx,St. Edward's University,power forward,191,
Michele Timms,Phoenix Mercury,,point guard,170,
Dominique Canty,Chicago Sky,University of Alabama,small forward,175,
Dominique Canty,Houston Comets,University of Alabama,shooting guard,175,
Taj McWilliams-Franklin,Minnesota Lynx,Georgia State University,power forward,191,
Dominique Canty,Washington Mystics,University of Alabama,small forward,175,
Katy Steding,Seattle Storm,Stanford University,small forward,183,
Vickie Johnson,New York Liberty,Louisiana Tech University,shooting guard,175,
Michelle Snow,Chicago Sky,University of Tennessee,center,1.96,
Marlous Nieuwveen,Los Angeles Sparks,,center,196,
Nikki McCray,Washington Mystics,,shooting guard,181,
Taj McWilliams-Franklin,Los Angeles Sparks,St. Edward's University,power forward,191,
Taj McWilliams-Franklin,Connecticut Sun,St. Edward's University,power forward,191,
Taj McWilliams-Franklin,Los Angeles Sparks,Georgia State University,power forward,191,
Katie Gearlds,Seattle Storm,Purdue University,,185,
Taj McWilliams-Franklin,Connecticut Sun,Georgia State University,power forward,191,
Michelle Brogan,Phoenix Mercury,,small forward,185,
LaToya Bond,Charlotte Sting,University of Missouri,point guard,170,
Taj McWilliams-Franklin,Washington Mystics,St. Edward's University,power forward,191,
Sidney Spencer,Los Angeles Sparks,,shooting guard,191,
Sandra van Embricqs,Los Angeles Sparks,"University of California, Los Angeles",center,184,
Taj McWilliams-Franklin,Washington Mystics,Georgia State University,power forward,191,
Brooke Smith,Minnesota Lynx,Stanford University,center,191,
Nikki McCray,Phoenix Mercury,,shooting guard,181,
Elena Delle Donne,Washington Mystics,University of Delaware,shooting guard,196,
Margo Dydek,Connecticut Sun,,center,218,
Rebekkah Brunson,Minnesota Lynx,Georgetown University,center,191,
Andrea Nagy,Sacramento Monarchs,Florida International University,point guard,170,
Jenny Whittle,Washington Mystics,,center,196,
Amanda Lassiter,Minnesota Lynx,University of Missouri,power forward,185,
Courtney Paris,Atlanta Dream,,center,193,
Jacinta Monroe,Washington Mystics,Florida State University,center,196,
Laura Harper,Sacramento Monarchs,,power forward,196,
Bernadette Ngoyisa,Chicago Sky,,center,195,
K. B. Sharp,Chicago Sky,,shooting guard,175,
Angie Bjorklund,Chicago Sky,University of Tennessee,point guard,183,
Cláudia das Neves,Miami Sol,,point guard,170,
Sandrine Gruda,Los Angeles Sparks,INSEP,center,192,
