playerLabel,teamLabel,collegeLabel,positionLabel,height,draftYear
Janice Lawrence Braxton,Cleveland Rockers,Louisiana Tech University,small forward,191,
Sandrine Gruda,Connecticut Sun,INSEP,center,192,
Svetlana Abrosimova,Seattle Storm,University of Connecticut,small forward,185,
Tammy Jackson,Houston Comets,University of Florida,center,190,
Miao Lijie,Sacramento Monarchs,,shooting guard,180,
April Sykes,Los Angeles Sparks,,shooting guard,183,
Brian Winters,Indiana Fever,University of South Carolina,shooting guard,193,
Anastasia Kostaki,Houston Comets,,shooting guard,172,
Bernice Mosby,Washington Mystics,University of Florida,small forward,185,
Amanda Lassiter,Chicago Sky,University of Missouri,power forward,185,
Amisha Carter,New York Liberty,,center,187,
Albena Branzova,New York Liberty,Florida International University,center,193,
Bernadette Ngoyisa,Indiana Fever,,center,195,
K. B. Sharp,Indiana Fever,,shooting guard,175,
Ewelina Kobryn,Seattle Storm,,center,191,
Margo Dydek,Los Angeles Sparks,,center,218,
Andrea Nagy,Washington Mystics,Florida International University,point guard,170,
T. R. Dunn,Charlotte Sting,University of Alabama,shooting guard,193,
Pamela McGee,Los Angeles Sparks,,center,191,
Laurie Koehn,Atlanta Dream,Kansas State University,point guard,173,
Aneika Henry,Atlanta Dream,University of Florida,center,193,
Andrea Stinson,Charlotte Sting,North Carolina State University,shooting guard,178,
Alex Montgomery,New York Liberty,Georgia Tech,shooting guard,185,
Lindsay Taylor,Seattle Storm,"University of California, Santa Barbara",center,183,
Angel Robinson,Seattle Storm,,center,198,
Ewelina Kobryn,Phoenix Mercury,,center,191,
Andrea Nagy,New York Liberty,Florida International University,point guard,170,
Bernice Mosby,Washington Mystics,Baylor University,small forward,185,
Amanda Lassiter,Seattle Storm,University of Missouri,power forward,185,
Pamela McGee,Sacramento Monarchs,,center,191,
Janeth Arcain,Houston Comets,,shooting guard,180,
Laurie Koehn,Washington Mystics,Kansas State University,point guard,173,
Svetlana Abrosimova,Minnesota Lynx,University of Connecticut,small forward,185,
Aya Traoré,Washington Mystics,Utah Tech University,small forward,188,
Ashley Houts,Washington Mystics,University of Georgia,point guard,168,
Tammy Jackson,Washington Mystics,University of Florida,center,190,
Amber Harris,Minnesota Lynx,,small forward,196,
Lindsay Taylor,Houston Comets,"University of California, Santa Barbara",center,183,
Bernadette Ngoyisa,New York Liberty,,center,195,
K. B. Sharp,New York Liberty,,shooting guard,175,
Elena Baranova,Miami Sol,,power forward,192,
Tree Rollins,Washington Mystics,Clemson University,center,216,
April Sykes,Los Angeles Sparks,,small forward,183,
Abi Olajuwon,Chicago Sky,,center,193,
Damiris Dantas,Minnesota Lynx,,center,192,
Audrey Sauret,Washington Mystics,,small forward,178,
Amanda Lassiter,Houston Comets,University of Missouri,power forward,185,
Jana Veselá,Seattle Storm,,small forward,194,
Courtney Paris,Sacramento Monarchs,,center,193,
Svetlana Abrosimova,Connecticut Sun,University of Connecticut,small forward,185,
Elena Baranova,New York Liberty,,power forward,192,
Rebekkah Brunson,Sacramento Monarchs,Georgetown University,center,191,
Adriana Moisés Pinto,Phoenix Mercury,,point guard,170,
Elena Delle Donne,Chicago Sky,University of Delaware,shooting guard,196,
T. R. Dunn,Charlotte Sting,University of Alabama,small forward,193,
Hamchétou Maïga,Sacramento Monarchs,Old Dominion University,power forward,186,
Brittney Griner,Phoenix Mercury,Baylor University,center,203,
Carla Thomas,Chicago Sky,,center,191,
Debbie Black,Connecticut Sun,,point guard,160,
Charde Houston,New York Liberty,,small forward,183,
Glory Johnson,Dallas Wings,University of Tennessee,small forward,191,
Cathrine Kraayeveld,Atlanta Dream,University of Oregon,small forward,191,
Grace Daley,New York Liberty,,point guard,168,
Debbie Black,Miami Sol,,point guard,160,
Grace Daley,Houston Comets,,point guard,168,
Ebony Hoffman,Indiana Fever,,center,188,
Erlana Larkins,Indiana Fever,University of North Carolina at Chapel Hill,small forward,185,
Cheryl Reeve,Minnesota Lynx,,,,
Chasity Melvin,Cleveland Rockers,North Carolina State University,power forward,191,
Erin Perperoglou,Minnesota Lynx,The Master's University,power forward,191,
Erin Thorn,Indiana Fever,,shooting guard,178,
Epiphanny Prince,New York Liberty,Rutgers University,shooting guard,175,
Hamchétou Maïga,Minnesota Lynx,Old Dominion University,power forward,186,
Charlotte Smith,Charlotte Sting,,small forward,183,
Ify Ibekwe,Seattle Storm,University of Arizona,small forward,74,
Edna Campbell,Phoenix Mercury,University of Maryland,shooting guard,173,
Gabriela Mărginean,Minnesota Lynx,Drexel University,small forward,182,
Cathrine Kraayeveld,Chicago Sky,University of Oregon,small forward,191,
Ebony Hoffman,Connecticut Sun,,power forward,188,
Edna Campbell,Sacramento Monarchs,University of Texas at Austin,shooting guard,173,
Carolyn Swords,Chicago Sky,,center,198,
Erlana Larkins,New York Liberty,University of North Carolina at Chapel Hill,small forward,185,
Edna Campbell,Seattle Storm,University of Maryland,shooting guard,173,
Briann January,Indiana Fever,,point guard,173,
Charlotte Smith,Indiana Fever,,small forward,183,
Erin Perperoglou,Charlotte Sting,The Master's University,power forward,191,
Chasity Melvin,Cleveland Rockers,North Carolina State University,center,191,
Dan Hughes,Cleveland Rockers,Miami University,,,
Dan Hughes,Charlotte Sting,Miami University,,,
Erin Thorn,Minnesota Lynx,,shooting guard,178,
Ebony Hoffman,Connecticut Sun,,center,188,
Cathrine Kraayeveld,New York Liberty,University of Oregon,small forward,191,
Brittainey Raven,Atlanta Dream,University of Texas at Austin,small forward,72,
Charlotte Smith,Washington Mystics,,small forward,183,
Cayla George,Phoenix Mercury,,center,193,
Erin Thorn,New York Liberty,,shooting guard,178,
Edna Campbell,Sacramento Monarchs,University of Maryland,shooting guard,173,
Erin Perperoglou,Sacramento Monarchs,"University of California, Santa Barbara",power forward,191,
Ebony Hoffman,Los Angeles Sparks,,power forward,188,
Chasity Melvin,Chicago Sky,North Carolina State University,power forward,191,
Danielle Page,Connecticut Sun,University of Nebraska–Lincoln,small forward,186,
Chasity Melvin,Washington Mystics,North Carolina State University,power forward,191,
Erin Perperoglou,Minnesota Lynx,"University of California, Santa Barbara",power forward,191,
Felicia Chester,New York Liberty,DePaul University,small forward,75,
Emma Meesseman,Chicago Sky,Vrije Universiteit Brussel,center,193,
Ebony Hoffman,Los Angeles Sparks,,center,188,
Emma Meesseman,Washington Mystics,Vrije Universiteit Brussel,center,193,
Chante Black,Connecticut Sun,Duke University,center,196,
Gergana Slavčeva,Phoenix Mercury,Florida International University,small forward,188,
Edna Campbell,Phoenix Mercury,University of Texas at Austin,shooting guard,173,
Carolyn Swords,New York Liberty,,center,198,
Chasity Melvin,Chicago Sky,North Carolina State University,center,191,
Charde Houston,Minnesota Lynx,,small forward,183,
Fran Harris,Houston Comets,,point guard,183,
Erin Perperoglou,Charlotte Sting,"University of California, Santa Barbara",power forward,191,
Chasity Melvin,Washington Mystics,North Carolina State University,center,191,
Grace Daley,Minnesota Lynx,,point guard,168,
Carla Thomas,Chicago Sky,,power forward,191,
Brigitte Ardossi,Atlanta Dream,Georgia Tech,power forward,188,
Edna Campbell,Seattle Storm,University of Texas at Austin,shooting guard,173,
Hamchétou Maïga,Houston Comets,Old Dominion University,power forward,186,
Erin Thorn,Chicago Sky,,shooting guard,178,
Dena Head,Phoenix Mercury,University of Tennessee,point guard,178,
Ebony Hoffman,Indiana Fever,,power forward,188,
Grace Daley,Phoenix Mercury,,point guard,168,
Epiphanny Prince,Chicago Sky,Rutgers University,shooting guard,175,
Dan Hughes,Seattle Storm,Miami University,,,
Liz Moeggenberg,Chicago Sky,Michigan State University,small forward,185,
Erin Perperoglou,Sacramento Monarchs,The Master's University,power forward,191,
Mistie Mims,Phoenix Mercury,Duke University,power forward,191,
LaToya Sanders,Los Angeles Sparks,University of North Carolina at Chapel Hill,small forward,191,
Jantel Lavender,Los Angeles Sparks,Ohio State University,center,193,
Jasmine Thomas,Washington Mystics,,shooting guard,175,
Natalie Achonwa,Indiana Fever,University of Notre Dame,center,192,
Molly Goodenbour,Sacramento Monarchs,Stanford University,point guard,168,
LaToya Sanders,Washington Mystics,University of North Carolina at Chapel Hill,small forward,191,
Lenae Williams,Charlotte Sting,,small forward,180,
Natalie Novosel,Washington Mystics,,shooting guard,180,
Natasha Lacy,Washington Mystics,,shooting guard,178,
Lindsay Wisdom-Hylton,Chicago Sky,,small forward,188,
Jasmine Thomas,Connecticut Sun,,shooting guard,175,
Kelsey Griffin,Connecticut Sun,University of Nebraska–Lincoln,small forward,185,
Nakia Sanford,Washington Mystics,University of Kansas,center,194,
Monica Wright,Minnesota Lynx,University of Virginia,shooting guard,180,
Michelle Marciniak,Seattle Storm,University of Tennessee,point guard,178,
Kiesha Brown,Minnesota Lynx,University of Georgia,point guard,175,
Michelle Marciniak,Portland Fire,University of Tennessee,point guard,178,
Marie Ferdinand-Harris,Los Angeles Sparks,Louisiana State University,shooting guard,175,
Natasha Lacy,Connecticut Sun,,shooting guard,178,
Mistie Mims,Houston Comets,Duke University,power forward,191,
Nicky Anosike,Washington Mystics,,center,188,
LaToya Sanders,Phoenix Mercury,University of North Carolina at Chapel Hill,small forward,191,
Karima Christmas,Indiana Fever,,small forward,183,
Julie Wojta,Minnesota Lynx,,shooting guard,183,
Krystal Thomas,Indiana Fever,Duke University,center,196,
Kiesha Brown,Los Angeles Sparks,University of Georgia,point guard,175,
Nakia Sanford,Phoenix Mercury,University of Kansas,center,194,
Kiesha Brown,Connecticut Sun,University of Georgia,point guard,175,
Matee Ajavon,Houston Comets,Rutgers University,point guard,173,
Natasha Lacy,New York Liberty,,shooting guard,178,
Kim Perrot,Houston Comets,,point guard,165,
Kia Vaughn,Washington Mystics,Rutgers University,center,193,
Karima Christmas,Washington Mystics,,small forward,183,
Nakia Sanford,Seattle Storm,University of Kansas,center,194,
Kiesha Brown,Washington Mystics,University of Georgia,point guard,175,
Ketia Swanier,Atlanta Dream,,point guard,170,
Krystal Thomas,Phoenix Mercury,Duke University,center,196,
Leilani Mitchell,Phoenix Mercury,,point guard,165,
Marie Ferdinand-Harris,Phoenix Mercury,Louisiana State University,shooting guard,175,
Kia Vaughn,New York Liberty,Rutgers University,center,193,
Krystal Thomas,Seattle Storm,Duke University,center,196,
Kiesha Brown,New York Liberty,University of Georgia,point guard,175,
Jessica Breland,Connecticut Sun,University of North Carolina at Chapel Hill,small forward,191,
Kayla Pedersen,Connecticut Sun,Stanford University,small forward,193,
Laure Savasta,Sacramento Monarchs,University of Washington,point guard,170,
Jessica Breland,Chicago Sky,University of North Carolina at Chapel Hill,small forward,191,
Jolene Anderson,Connecticut Sun,University of Wisconsin–Madison,shooting guard,175,
Natasha Lacy,Los Angeles Sparks,,shooting guard,178,
Mistie Mims,Connecticut Sun,Duke University,power forward,191,
Ketia Swanier,Connecticut Sun,,point guard,170,
Monica Wright,Seattle Storm,University of Virginia,shooting guard,180,
Jia Perkins,Charlotte Sting,Texas Tech University,shooting guard,173,
Jessica Breland,Indiana Fever,University of North Carolina at Chapel Hill,small forward,191,
Matee Ajavon,Atlanta Dream,Rutgers University,point guard,173,
Ketia Swanier,Phoenix Mercury,,point guard,170,
Mistie Mims,Chicago Sky,Duke University,power forward,191,
Jeanette Pohlen,Indiana Fever,Stanford University,shooting guard,183,
Itoro Umoh-Coleman,Houston Comets,,shooting guard,170,
Mamignan Touré,Connecticut Sun,,shooting guard,183,
Michelle Marciniak,Seattle Storm,University of Notre Dame,point guard,178,
Michelle Marciniak,Seattle Storm,Notre Dame University,point guard,178,
Jia Perkins,Chicago Sky,Texas Tech University,shooting guard,173,
Michelle Marciniak,Portland Fire,University of Notre Dame,point guard,178,
LaToya Sanders,Minnesota Lynx,University of North Carolina at Chapel Hill,small forward,191,
Nicky Anosike,Los Angeles Sparks,,center,188,
Jessica Breland,New York Liberty,University of North Carolina at Chapel Hill,small forward,191,
Michelle Marciniak,Portland Fire,Notre Dame University,point guard,178,
Jurgita Štreimikytė-Virbickienė,Indiana Fever,,small forward,188,
Matee Ajavon,Washington Mystics,Rutgers University,point guard,173,
Jasmine Thomas,Atlanta Dream,,shooting guard,175,
Kiesha Brown,Houston Comets,University of Georgia,point guard,175,
Leigh Aziz,Indiana Fever,,center,191,
Alisa Burras,Seattle Storm,Louisiana Tech University,center,191,
Shona Thorburn,Seattle Storm,University of Utah,point guard,178,
Ashley Battle,Seattle Storm,University of Connecticut,,183,
Nicole Ohlde,Phoenix Mercury,Kansas State University,power forward,196,
Nikki Teasley,Washington Mystics,,point guard,183,
Alisa Burras,Portland Fire,Louisiana Tech University,center,191,
Pokey Chatman,Chicago Sky,,point guard,,
Amber Jacobs,Washington Mystics,Boston College,point guard,173,
Slobodanka Maksimović,Phoenix Mercury,,center,193,
Tonya Edwards,Charlotte Sting,University of Detroit Mercy,shooting guard,178,
Shavonte Zellous,Washington Mystics,University of Pittsburgh,shooting guard,178,
Vicki Hall,Los Angeles Sparks,University of Texas at Austin,power forward,185,
Alisa Burras,Cleveland Rockers,Louisiana Tech University,center,191,
Adrian Williams-Strong,Sacramento Monarchs,University of Southern California,power forward,193,
Shavonte Zellous,Indiana Fever,University of Pittsburgh,shooting guard,178,
Tari Phillips,New York Liberty,University of Central Florida,power forward,185,
Sydney Colson,New York Liberty,,shooting guard,173,
Shannon Bobbitt,Los Angeles Sparks,University of Tennessee,point guard,157,
Adia Barnes,Seattle Storm,,small forward,180,
Alicia Thompson,New York Liberty,,small forward,185,
Tracy Reid,Charlotte Sting,,power forward,180,
Vicki Hall,Indiana Fever,University of Texas at Austin,power forward,185,
Astou Ndiaye-Diatta,Indiana Fever,Southern Nazarene University,center,191,
Ashley Battle,New York Liberty,University of Connecticut,,183,
Adia Barnes,Minnesota Lynx,,small forward,180,
Adrian Williams-Strong,Minnesota Lynx,University of Southern California,power forward,193,
Shannon Bobbitt,Washington Mystics,University of Tennessee,point guard,157,
Tari Phillips,Portland Fire,University of Central Florida,power forward,185,
Nicky Anosike,Minnesota Lynx,,center,188,
Angelina Wolvert,Cleveland Rockers,,,191,
Shannon Bobbitt,Indiana Fever,University of Tennessee,point guard,157,
Adrienne Goodson,Charlotte Sting,Old Dominion University,small forward,183,
Tangela Smith,Charlotte Sting,,power forward,191,
Ukari Figgs,Los Angeles Sparks,Purdue University,point guard,175,
Polina Tzekova,Houston Comets,,center,193,
Shona Thorburn,Minnesota Lynx,University of Utah,point guard,178,
Adia Barnes,Houston Comets,,small forward,180,
Astou Ndiaye-Diatta,Seattle Storm,Southern Nazarene University,center,191,
Tari Phillips,Houston Comets,University of Central Florida,power forward,185,
Tammy Sutton-Brown,Charlotte Sting,,center,193,
Nicole Ohlde,Minnesota Lynx,Kansas State University,power forward,196,
Nikki Teasley,Los Angeles Sparks,,point guard,183,
Victoria Dunlap,Washington Mystics,University of Kentucky,small forward,73,
Nneka Ogwumike,Los Angeles Sparks,Stanford University,power forward,188,
Tracy Reid,Miami Sol,,power forward,180,
Vicki Hall,Cleveland Rockers,University of Texas at Austin,power forward,185,
Tracy Reid,Phoenix Mercury,,power forward,180,
Ta'Shia Phillips,Washington Mystics,Xavier University,center,198,
Tammy Sutton-Brown,Indiana Fever,,center,193,
Adrienne Johnson,Connecticut Sun,,shooting guard,178,
Sue Wicks,New York Liberty,Rutgers University,center,191,
Astou Ndiaye-Diatta,Houston Comets,Southern Nazarene University,center,191,
Nádia Colhado,Atlanta Dream,,center,194,
Tracy Reid,Houston Comets,,power forward,180,
Adrian Williams-Strong,Phoenix Mercury,University of Southern California,power forward,193,
Ta'Shia Phillips,New York Liberty,Xavier University,center,198,
Amber Jacobs,Minnesota Lynx,Boston College,point guard,173,
Alisa Burras,Seattle Storm,University of Arkansas-Fort Smith,center,191,
Alicia Thompson,Indiana Fever,,small forward,185,
Andrea Congreaves,Charlotte Sting,,power forward,188,
Shekinna Stricklen,Seattle Storm,,small forward,188,
Victoria Dunlap,Seattle Storm,University of Kentucky,small forward,73,
Zuzana Gudzaraidze,Indiana Fever,Vanderbilt University,power forward,188,
Alisa Burras,Portland Fire,University of Arkansas-Fort Smith,center,191,
Adia Barnes,Sacramento Monarchs,,small forward,180,
Olayinka Sanni,Phoenix Mercury,,center,188,
Tonya Edwards,Minnesota Lynx,University of Detroit Mercy,shooting guard,178,
Amber Jacobs,Los Angeles Sparks,Boston College,point guard,173,
Nikki Teasley,Atlanta Dream,,point guard,183,
Alisa Burras,Cleveland Rockers,University of Arkansas-Fort Smith,center,191,
Shekinna Stricklen,Connecticut Sun,,small forward,188,
Alicia Thompson,Seattle Storm,,small forward,185,
Adrienne Johnson,Cleveland Rockers,,shooting guard,178,
Dana Wynne,Sacramento Monarchs,,,188,
Jae Kingi-Cross,Houston Comets,,,173,
Bahar Öztürk,Connecticut Sun,,small forward,183,
DeMya Walker,Connecticut Sun,,power forward,191,
Iciss Tillis,Los Angeles Sparks,Duke University,power forward,196,
Christi Thomas,Chicago Sky,,center,191,
Kamila Vodičková,Seattle Storm,,power forward,193,
Cass Bauer-Bilodeau,Charlotte Sting,Montana State University,small forward,193,
Danielle McCulley,Seattle Storm,Western Kentucky University,center,191,
Coquese Washington,New York Liberty,University of Notre Dame,point guard,168,
Jenny Boucek,Cleveland Rockers,,point guard,173,
Deanna Jackson,Chicago Sky,,,188,
Elisabeth Cebrián,New York Liberty,,center,196,
Jessica Moore,Atlanta Dream,University of Connecticut,power forward,191,
Bahar Öztürk,Houston Comets,,small forward,183,
Kate Starbird,Seattle Storm,Stanford University,shooting guard,185,
DeMya Walker,New York Liberty,,power forward,191,
Cass Bauer-Bilodeau,Washington Mystics,Montana State University,small forward,193,
Bethany Donaphin,New York Liberty,Stanford University,center,190,
Jessica Moore,Charlotte Sting,University of Connecticut,power forward,191,
Jae Kingi-Cross,Phoenix Mercury,,,173,
Kamila Vodičková,Phoenix Mercury,,power forward,193,
Jessica Moore,Los Angeles Sparks,University of Connecticut,power forward,191,
Jessica Moore,Connecticut Sun,University of Connecticut,power forward,191,
Brooke Wyckoff,Chicago Sky,Florida State University,small forward,185,
Iciss Tillis,New York Liberty,Duke University,power forward,196,
Darxia Morris,Atlanta Dream,,shooting guard,173,
Brandy Reed,Phoenix Mercury,University of Southern Mississippi,small forward,185,
Jennifer Derevjanik,Phoenix Mercury,George Mason University,point guard,178,
Jennifer Rizzotti,Cleveland Rockers,University of Connecticut,point guard,168,
Hajdana Radunović,New York Liberty,,center,191,
Jessica Moore,Washington Mystics,University of Connecticut,power forward,191,
Crystal Kelly,Sacramento Monarchs,,,188,
Jennifer Rizzotti,Houston Comets,University of Connecticut,point guard,168,
Bridget Pettis,Indiana Fever,University of Florida,,175,
Christi Thomas,Minnesota Lynx,,center,191,
Jackie Moore,Indiana Fever,"California State University, Long Beach",center,190,
Coquese Washington,Houston Comets,University of Notre Dame,point guard,168,
Kate Starbird,Sacramento Monarchs,Stanford University,shooting guard,185,
Chelsea Newton,Chicago Sky,Rutgers University,shooting guard,180,
Chantel Tremitiere,Sacramento Monarchs,Auburn University,point guard,168,
Jasmina Perazić,New York Liberty,University of Maryland,small forward,184,
Crystal Robinson,Washington Mystics,Southeastern Oklahoma State University,small forward,180,
Heather Burge,Sacramento Monarchs,University of Virginia,center,196,
DeMya Walker,Portland Fire,,power forward,191,
DeMya Walker,Sacramento Monarchs,,power forward,191,
Franthea Price,Sacramento Monarchs,,shooting guard,175,
Elaine Powell,Chicago Sky,,point guard,175,
Crystal Robinson,New York Liberty,Southeastern Oklahoma State University,small forward,180,
Bridget Pettis,Phoenix Mercury,University of Florida,,175,
Danielle Viglione,Sacramento Monarchs,,shooting guard,178,
Clarisse Machanguana,Charlotte Sting,Old Dominion University,center,196,
Clarisse Machanguana,Los Angeles Sparks,Old Dominion University,center,196,
Chantelle Anderson,Sacramento Monarchs,,center,198,
Cass Bauer-Bilodeau,Sacramento Monarchs,Montana State University,small forward,193,
Brandy Reed,Minnesota Lynx,University of Southern Mississippi,small forward,185,
Danielle McCulley,Indiana Fever,Western Kentucky University,center,191,
Ayana Walker,Charlotte Sting,,power forward,191,
Caity Matter,Charlotte Sting,,shooting guard,175,
Bahar Öztürk,Seattle Storm,,small forward,183,
Christelle N'Garsanet,New York Liberty,University of Missouri,center,191,
DeMya Walker,Washington Mystics,,power forward,191,
Kate Starbird,Indiana Fever,Stanford University,shooting guard,185,
Jessie Hicks,Connecticut Sun,University of Maryland,center,188,
Chantel Tremitiere,Indiana Fever,Auburn University,point guard,168,
Christi Thomas,Los Angeles Sparks,,center,191,
Laura Macchi,Los Angeles Sparks,,power forward,188,
Mfon Udoka,Houston Comets,DePaul University,,183,
Marina Ferragut,New York Liberty,University of Valencia,center,191,
Niele Ivey,Indiana Fever,University of Notre Dame,point guard,170,
Marcedes Walker,Houston Comets,,center,191,
Marta Xargay,Phoenix Mercury,,point guard,180,
Linda Burgess,Los Angeles Sparks,,,185,
Lynn Pride,Minnesota Lynx,University of Kansas,small forward,188,
Kristen Rasmussen,Houston Comets,Michigan State University,center,193,
Megan Duffy,New York Liberty,,point guard,170,
Michele Van Gorp,New York Liberty,,center,198,
Kelly Schumacher,Phoenix Mercury,,center,196,
Rita Williams,Seattle Storm,University of Connecticut,shooting guard,168,
Penny Toler,Los Angeles Sparks,"California State University, Long Beach",point guard,173,
Mery Andrade,Cleveland Rockers,Old Dominion University,small forward,180,
Katrina Colleton,Los Angeles Sparks,,shooting guard,178,
Mactabene Amachree,New York Liberty,Abilene Christian University,,185,
Kelley Gibson,Houston Comets,,,178,
Kristin Folkl,Portland Fire,Stanford University,small forward,188,
Mfon Udoka,Los Angeles Sparks,DePaul University,,183,
Penny Toler,Los Angeles Sparks,San Diego State University,point guard,173,
Levys Torres,Miami Sol,Florida State University,center,193,
Pollyanna Johns Kimbrough,Charlotte Sting,University of Michigan,center,188,
Kristen Rasmussen,Minnesota Lynx,Michigan State University,center,193,
Rita Williams,Houston Comets,University of Connecticut,shooting guard,168,
Pollyanna Johns Kimbrough,Miami Sol,University of Michigan,center,188,
Murriel Page,Los Angeles Sparks,University of Florida,center,188,
Kelly Mazzante,Charlotte Sting,,shooting guard,183,
Mikiko Hagiwara,Phoenix Mercury,Waseda University,shooting guard,175,
Lady Grooms,Sacramento Monarchs,University of Georgia,shooting guard,178,
Kristen Rasmussen,Charlotte Sting,Michigan State University,center,193,
Le'coe Willingham,Atlanta Dream,Auburn University,small forward,183,
Murriel Page,Washington Mystics,University of Florida,center,188,
Kristen Rasmussen,Connecticut Sun,Michigan State University,center,193,
Michelle Greco,Seattle Storm,,shooting guard,175,
Michele Van Gorp,Portland Fire,,center,198,
Kristen Rasmussen,Miami Sol,Michigan State University,center,193,
Olha Fyrsova,New York Liberty,,center,198,
Le'coe Willingham,Connecticut Sun,Auburn University,small forward,183,
Kelly Mazzante,Atlanta Dream,,shooting guard,183,
Le'coe Willingham,Chicago Sky,Auburn University,small forward,183,
Kristen Rasmussen,Indiana Fever,Michigan State University,center,193,
Michelle Edwards,Cleveland Rockers,,shooting guard,175,
Mery Andrade,Charlotte Sting,Old Dominion University,small forward,180,
Kerri Gardin,Connecticut Sun,Virginia Tech,small forward,185,
Nicky McCrimmon,Los Angeles Sparks,University of Southern California,shooting guard,173,
Kristin Folkl,Minnesota Lynx,Stanford University,small forward,188,
Kelly Boucher,Charlotte Sting,,,188,
Kerri Gardin,Washington Mystics,Virginia Tech,small forward,185,
Marta Xargay,Phoenix Mercury,,shooting guard,180,
Nina Bjedov,Los Angeles Sparks,,power forward,198,
La'Keshia Frett,Charlotte Sting,,power forward,191,
Kym Hampton,New York Liberty,,center,188,
Kristen Rasmussen,Phoenix Mercury,Michigan State University,center,193,
Katrina Colleton,Miami Sol,,shooting guard,178,
Mikiko Hagiwara,Sacramento Monarchs,Waseda University,shooting guard,175,
Kelly Schumacher,Indiana Fever,,center,196,
Pollyanna Johns Kimbrough,Cleveland Rockers,University of Michigan,center,188,
Le'coe Willingham,Phoenix Mercury,Auburn University,small forward,183,
Marlelynn Lange-Harris,Phoenix Mercury,"University of Nevada, Las Vegas",center,198,
Rita Williams,Washington Mystics,University of Connecticut,shooting guard,168,
Megan Duffy,Minnesota Lynx,,point guard,170,
Michele Van Gorp,Minnesota Lynx,,center,198,
Rita Williams,Indiana Fever,University of Connecticut,shooting guard,168,
Le'coe Willingham,Seattle Storm,Auburn University,small forward,183,
Mactabene Amachree,Washington Mystics,Abilene Christian University,,185,
Pollyanna Johns Kimbrough,Houston Comets,University of Michigan,center,188,
Mactabene Amachree,Seattle Storm,Abilene Christian University,,185,
Tamika Williams,Connecticut Sun,University of Connecticut,power forward,188,
Stacey Thomas,Charlotte Sting,University of Michigan,small forward,178,
Tausha Mills,Washington Mystics,University of Alabama,center,1.91,
Shay Murphy,Minnesota Lynx,,shooting guard,180,
Tiffany Stansbury,Los Angeles Sparks,North Carolina State University,center,191,
Rushia Brown,Cleveland Rockers,,,188,
Ana Dabović,Los Angeles Sparks,,shooting guard,183,
Tamara Moore,New York Liberty,University of Wisconsin–Madison,shooting guard,180,
Sharon Manning,Charlotte Sting,,center,191,
Tye'sha Fluker,Charlotte Sting,,center,196,
Tamara Moore,Phoenix Mercury,University of Wisconsin–Madison,shooting guard,180,
Shay Murphy,Phoenix Mercury,,shooting guard,180,
Vanessa Gidden,Minnesota Lynx,,center,191,
Tynesha Lewis,Houston Comets,North Carolina State University,shooting guard,178,
Tonya Washington,Washington Mystics,University of Florida,,183,
Sheri Sam,Charlotte Sting,,small forward,183,
Andrea Riley,Phoenix Mercury,Oklahoma State University,point guard,165,
Tonya Washington,Seattle Storm,University of Florida,,183,
Vanessa Nygaard,Charlotte Sting,Stanford University,small forward,185,
Sophia Witherspoon,Los Angeles Sparks,University of Florida,shooting guard,178,
Vanessa Hayden,Minnesota Lynx,University of Florida,center,193,
Stacey Thomas,Phoenix Mercury,University of Michigan,small forward,178,
Scholanda Dorrell,Sacramento Monarchs,Louisiana State University,shooting guard,180,
Sheri Sam,Indiana Fever,,small forward,183,
Tricia Bader Binford,Cleveland Rockers,Boise State University,,163,
Stacey Thomas,Seattle Storm,University of Michigan,small forward,178,
Tamara Moore,Houston Comets,University of Wisconsin–Madison,shooting guard,180,
Vanessa Hayden,Los Angeles Sparks,University of Florida,center,193,
